yyyy,mm,maxC,minC
1960,9,16.2,8.5
1960,10,12.1,7.1
1960,11,8.7,2.6
1960,12,6,0.8
1961,1,5.5,0.1
1961,2,9.2,2.7
1961,3,12.3,3.8
1961,4,11.9,4.8
1961,5,13.8,5.8
1961,6,18.1,8.9
1961,7,18,9.9
1961,8,19.2,9.6
1961,9,18.4,9.6
1961,10,13.3,6.2
1961,11,8.3,2.4
1961,12,4,-1.8
1962,1,6.9,0.7
1962,2,7.5,1.3
1962,3,5.7,-1.8
1962,4,11.3,2.7
1962,5,13.8,5.5
1962,6,17.5,7.5
1962,7,17.2,9.2
1962,8,17.3,9.3
1962,9,15.7,7.9
1962,10,13.8,6.2
1962,11,7.9,1.4
1962,12,4.7,-2.2
1963,1,2.1,-3.2
1963,2,1.5,-3.9
1963,3,8.2,1.2
1963,4,11.4,4.4
1963,5,14.1,5.7
1963,6,17.5,9.6
1963,7,18.6,9.8
1963,8,17.2,9.2
1963,9,16.7,7.3
1963,10,13.6,6.3
1963,11,9.2,4
1963,12,5.7,0.2
1964,1,6.3,0.1
1964,2,6.7,0.6
1964,3,5.2,0.8
1964,4,12.1,4.7
1964,5,16.7,7.4
1964,6,16.7,8.8
1964,7,19.2,10.2
1964,8,19,9.7
1964,9,18,8.2
1964,10,12.5,4.5
1964,11,9.9,2.9
1964,12,5.5,-1.3
1965,1,5.5,-0.5
1965,2,6.1,0.7
1965,3,7.7,-0.4
1965,4,11.9,2.6
1965,5,14.5,5.7
1965,6,18.3,8.5
1965,7,16.9,8.3
1965,8,18.2,8.7
1965,9,15.3,8.4
1965,10,13.7,6.3
1965,11,6.2,0.6
1965,12,5.5,-0.4
1966,1,3.9,-0.8
1966,2,6,0.6
1966,3,10.2,2.2
1966,4,7.9,2.3
1966,5,15.1,5.3
1966,6,18.5,10
1966,7,18.7,9.5
1966,8,17.3,9.8
1966,9,17.1,9.3
1966,10,12.6,5.7
1966,11,8.4,2.2
1966,12,6.7,0.9
1967,1,6.3,0.2
1967,2,7.8,2.2
1967,3,9.6,3.2
1967,4,11.5,3.2
1967,5,12.6,4.8
1967,6,17.9,8
1967,7,19.3,10.5
1967,8,19,10.2
1967,9,16.6,8.5
1967,10,12.8,6.1
1967,11,8.5,0.8
1967,12,7,0.2
1968,1,6.4,0.2
1968,2,4.6,-2
1968,3,9.7,2.1
1968,4,12.2,2.2
1968,5,12.7,3.6
1968,6,18.6,8.4
1968,7,16.8,9.6
1968,8,17.8,10.7
1968,9,17,9.2
1968,10,14.6,8.6
1968,11,7.8,3.9
1968,12,4.6,0.4
1969,1,7.1,1
1969,2,3,-2.6
1969,3,5,-0.5
1969,4,10.7,2.1
1969,5,13.1,5.9
1969,6,18.1,8.1
1969,7,20.4,11.4
1969,8,19.9,11.7
1969,9,17.1,9.9
1969,10,15.7,8.7
1969,11,6.9,1
1969,12,5,0.3
1970,1,5,-0.2
1970,2,5.5,-1.2
1970,3,7.5,-0.3
1970,4,9.7,2
1970,5,16,7.2
1970,6,20.3,9.5
1970,7,18.4,10.8
1970,8,20.1,11.3
1970,9,17.4,10
1970,10,13.9,6.3
